query_idx,video_id_gt,timestamp_start_gt,timestamp_end_gt,query_text,strategy,latency_server_total_ms,keyframe_1,keyframe_2,keyframe_3,keyframe_4,keyframe_5
0,w2nmzwknVco,1.3599999999999999,81.72,"A female athlete representing Cuba prepares for a javelin throw in a stadium filled with cheering spectators, then her powerful throw breaks the championship record, eliciting roars from the crowd.",baseline_siglip,1557.42,w2nmzwknVco_1689,w2nmzwknVco_1630,w2nmzwknVco_1788,w2nmzwknVco_664,w2nmzwknVco_30
1,wq9wywa4xiM,8.295,57.133,"A promotional video showcases a white Chevrolet Tahoe SUV, highlighting its sleek design, spacious interior, and ability to handle snowy roads, while a man's voice narrates its features and a pop song plays in the background before transitioning to a map showing the dealership's location.",baseline_siglip,1197.04,TJMrW-vgNz0_1806,wq9wywa4xiM_1301,wq9wywa4xiM_600,wq9wywa4xiM_1161,TJMrW-vgNz0_1168
2,x8G-pQ4b6aM,2.999,117.93414965986395,"A woman is giving a tour of her lush garden, panning across neat rows of vegetables and pointing out different plants like garlic, peas, and tomatoes, as birds chirp cheerfully in the background.",baseline_siglip,1146.12,QpxfKKKbEGk_112,QpxfKKKbEGk_342,QpxfKKKbEGk_149,Rq7Kz2wXZrY_109,aw6rLeAo4gk_196278
3,v4-zBR7aXFU,4.5600000000000005,46.92,"A group of men in matching ""Pick Me Locksmiths"" shirts smile for a promotional video, as a voiceover plays, explaining how a locksmith can help with car key damage from an unexpected trip through the washing machine.",baseline_siglip,1345.14,v4-zBR7aXFU_123,v4-zBR7aXFU_119,v4-zBR7aXFU_914,v4-zBR7aXFU_129,v4-zBR7aXFU_225
4,vHTfzg4dBsY,0.0,58.6,"A three-person panel, with a woman about to speak and one man actively contributing, is seated at a table with water bottles, transitioning to a two-man conversation where they gesture, listen, and occasionally sip their water. The woman in the audio, who is not visible in the latter part of the video, expresses her willingness to participate in a revival of a show only if two other individuals, Tom and Michael, agree to join, indicating a collaborative project. As the conversation progresses, a pop song begins playing in the background, its source unclear but possibly originating from the event's sound system.",baseline_siglip,1160.65,EWRMsjY10hw_2624,EWRMsjY10hw_2561,EWRMsjY10hw_2776,uHBgWoztks4_367,EWRMsjY10hw_2086
5,vMInBBN_5Ts,0.0,18.233,"Two young girls are standing in a room, looking at something on a smartphone and giggling as they discuss the images. One of the girls shows the phone screen to the camera, revealing a photo of a young man.",baseline_siglip,1161.81,J34pE6PKZPY_12478,J34pE6PKZPY_14910,J34pE6PKZPY_12528,vMInBBN_5Ts_1860,J34pE6PKZPY_14876
6,vRO8vWryVx4,6.773,31.197,"The scene opens with a man and a woman chatting under the bright neon lights of a casino, a commercial for Miller Genuine Draft plays on a nearby screen. The commercial features a cowboy outlined in neon, then transitions to a hand reaching for a six-pack of Miller beer. As a catchy jingle about ""getting into the cold"" plays, the commercial shifts to a nighttime scene with a couple enjoying a cold drink against a backdrop of a deep blue sky.",baseline_siglip,1155.42,vRO8vWryVx4_501,vRO8vWryVx4_47,vRO8vWryVx4_846,vRO8vWryVx4_281,vRO8vWryVx4_712
7,t-sHfZ9upSs,24.157,27.093,"A colorful graphic with the text ""FOX KIDS RADIO countdown"" swirls on screen as a man's voice excitedly promotes ""The Sunday morning radio happening,"" encouraging listeners to ""call the shots!""",baseline_siglip,1179.6,t-sHfZ9upSs_842,t-sHfZ9upSs_850,t-sHfZ9upSs_866,t-sHfZ9upSs_844,t-sHfZ9upSs_778
8,tDMu9cy-Uag,11.2,250.48,"A man wearing a ""RASCAL"" cap and a hoodie stands in front of a wall decorated with Tottenham Hotspur jerseys, passionately yelling about a recent match against Manchester City, his commentary punctuated by humorous anecdotes and expressive gestures.",baseline_siglip,1154.12,tDMu9cy-Uag_4102,tDMu9cy-Uag_5431,tDMu9cy-Uag_346,tDMu9cy-Uag_1158,tDMu9cy-Uag_207
9,tNeWPZw0Igw,0.0,327.633,"The video opens with news anchors discussing heavy rains and flooding in Mombasa, then cuts to footage of flooded streets and homes, where a reporter interviews residents struggling to cope with the disaster.",baseline_siglip,1172.6,tNeWPZw0Igw_9335,tNeWPZw0Igw_4398,tNeWPZw0Igw_916,tNeWPZw0Igw_552,tNeWPZw0Igw_474
10,th7TroOitYM,0.503,56.044,"A casual gathering in a park turns tense as two individuals engage in a heated argument, escalating into a physical altercation while onlookers watch with a mix of concern and curiosity.",baseline_siglip,1169.88,X40MPQXah9U_1516,Qt7OgOB_TVU_4823,GbU_T2XiFgA_161,CAYlUmDhUS8_826,CAYlUmDhUS8_820
11,uEQhiiFCvFI,1.4,40.066,"Encouraged by a man and a woman, a small brown dog excitedly runs on a treadmill, its tail wagging.",baseline_siglip,1139.7,uEQhiiFCvFI_34,uEQhiiFCvFI_379,uEQhiiFCvFI_244,uEQhiiFCvFI_42,uEQhiiFCvFI_649
12,qousDEuMLCA,0.0,331.875,"A band named ""No Capital"" is playing an energetic live set on a stage lit with cool blue lights for an unseen but enthusiastic audience.",baseline_siglip,1172.49,-QEfaBLGPQk_7473,-QEfaBLGPQk_3486,-QEfaBLGPQk_2655,IoKT18WFFGc_4705,-QEfaBLGPQk_4344
13,rFA1jSO6pdg,5.046,64.94621315192744,"A man wearing glasses, sitting in front of shelves stocked with canned goods and jars, is initially lost in thought. He then begins speaking directly to the camera, sharing his experience of managing diabetes and the noticeable improvements in his leg sores and pain reduction.",baseline_siglip,981.58,GYcYjGBEL8k_4604,GYcYjGBEL8k_4684,DHI_NLr_MQY_8542,GYcYjGBEL8k_4704,aAFUEHWZ_D8_7333
14,sO3wd7X-l7U,0.0,51.71700680272109,"A silver Ford SUV, parked in front of a New Brighton Ford dealership, gleams under the sunlight, as a voice advertises its features, followed by a short jingle.",baseline_siglip,948.41,sO3wd7X-l7U_197,sO3wd7X-l7U_107,sO3wd7X-l7U_852,sO3wd7X-l7U_30,sO3wd7X-l7U_222
15,m1ESWlMVugc,0.0,171.037,"The video starts with a black Chevrolet sedan parked in a dealership lot, a woman's voice describes its features including a backup camera and keyless entry. Upbeat electronic and pop music plays as the Chevrolet is shown driving down a sunny road, showcasing its smooth handling and comfortable interior.  The video then transitions to the car's interior, highlighting the spacious backseat and modern dashboard display, while a man speaks intermittently and electronic music continues in the background.",baseline_siglip,957.15,m1ESWlMVugc_853,m1ESWlMVugc_285,m1ESWlMVugc_1421,m1ESWlMVugc_1989,c8HLOHnlemM_1871
16,mV2SlDO7GZg,0.0,71.638,"A man in sunglasses and an orange shirt stands on a sunny beach, addressing the camera with a cheerful greeting as he describes the beautiful day and the clear emerald green water while the waves crash against the shore.",baseline_siglip,945.32,mV2SlDO7GZg_1670,mV2SlDO7GZg_1193,mV2SlDO7GZg_716,Wn8K4O7EFcE_3593,Wn8K4O7EFcE_3469
17,n8Da3jHuFjM,0.0,30.8,"The video starts with a close-up of a shiny black and red motorcycle, then zooms out to show it speeding down the road, the rider leaning into turns as a pop song plays.",baseline_siglip,945.24,D3bmHjjrnvw_79,aXV-U1p2owM_135514,aXV-U1p2owM_136553,D3bmHjjrnvw_595,D3bmHjjrnvw_7539
18,nCMbcOm54zU,0.0,139.166,"A woman is walking her dogs in the forest, enjoying the beautiful solstice weather and the fragrant balsam fir trees, as the dogs happily explore the dirt path and sniff the ground.",baseline_siglip,952.35,y9XYO9d9H94_13664,puDwfLDhAgY_7940,2a0O3-5Fpyw_479,Wn8K4O7EFcE_5548,2a0O3-5Fpyw_471
19,k4T-OsT6_CQ,9.475999999999999,108.50684807256236,"A man standing in front of a pomegranate shrub with small orange flowers, describes to the viewers the shrub's features, how to grow it, and the fruit it bears.",baseline_siglip,956.43,k4T-OsT6_CQ_3109,k4T-OsT6_CQ_3277,k4T-OsT6_CQ_1104,k4T-OsT6_CQ_2775,7lM8qrpEKv4_12120
20,k_c5nUaK45M,13.213,524.9567346938776,"Three women and a man are recording a video blog, introducing themselves and their countries of origin, Burundi and Rwanda, while laughing and discussing their favorite things about their cultures, including food, coffee, tea, and traditional dances.",baseline_siglip,948.78,k_c5nUaK45M_11473,k_c5nUaK45M_2953,k_c5nUaK45M_13177,IWquNO7pJ_Q_5985,2f9-OGw5Kkg_3191
