query_idx,video_id_gt,timestamp_start_gt,timestamp_end_gt,query_text,strategy,latency_server_total_ms,keyframe_1,keyframe_2,keyframe_3,keyframe_4,keyframe_5
0,w2nmzwknVco,1.3599999999999999,81.72,"A female athlete representing Cuba prepares for a javelin throw in a stadium filled with cheering spectators, then her powerful throw breaks the championship record, eliciting roars from the crowd.",both,5773.07,keh-WMkHB-A_10868,mvl5ZOIy_sM_7981,w2nmzwknVco_1689,w2nmzwknVco_1630,w2nmzwknVco_320
1,wq9wywa4xiM,8.295,57.133,"A promotional video showcases a white Chevrolet Tahoe SUV, highlighting its sleek design, spacious interior, and ability to handle snowy roads, while a man's voice narrates its features and a pop song plays in the background before transitioning to a map showing the dealership's location.",both,5992.37,wq9wywa4xiM_1301,wq9wywa4xiM_320,wq9wywa4xiM_1161,TJMrW-vgNz0_1806,wq9wywa4xiM_600
2,x8G-pQ4b6aM,2.999,117.93414965986395,"A woman is giving a tour of her lush garden, panning across neat rows of vegetables and pointing out different plants like garlic, peas, and tomatoes, as birds chirp cheerfully in the background.",both,5114.32,QpxfKKKbEGk_112,QpxfKKKbEGk_149,oQxDR7c6Sv8_6223,oQxDR7c6Sv8_8076,HEdfuB_fXXM_6266
3,v4-zBR7aXFU,4.5600000000000005,46.92,"A group of men in matching ""Pick Me Locksmiths"" shirts smile for a promotional video, as a voiceover plays, explaining how a locksmith can help with car key damage from an unexpected trip through the washing machine.",both,4938.36,5_ktCUWKhm0_70227,v4-zBR7aXFU_123,v4-zBR7aXFU_914,cTiQ0A8yztM_1231,v4-zBR7aXFU_1112
4,vHTfzg4dBsY,0.0,58.6,"A three-person panel, with a woman about to speak and one man actively contributing, is seated at a table with water bottles, transitioning to a two-man conversation where they gesture, listen, and occasionally sip their water. The woman in the audio, who is not visible in the latter part of the video, expresses her willingness to participate in a revival of a show only if two other individuals, Tom and Michael, agree to join, indicating a collaborative project. As the conversation progresses, a pop song begins playing in the background, its source unclear but possibly originating from the event's sound system.",both,5886.17,hZEkzHGQUnw_50325,EWRMsjY10hw_2624,Z-hlc8kN6nI_3421,vHTfzg4dBsY_79,EWRMsjY10hw_2776
5,vMInBBN_5Ts,0.0,18.233,"Two young girls are standing in a room, looking at something on a smartphone and giggling as they discuss the images. One of the girls shows the phone screen to the camera, revealing a photo of a young man.",both,4400.33,xzpqxtOtdvM_251,vMInBBN_5Ts_1860,vMInBBN_5Ts_3580,T_LML1_IHmA_670,J34pE6PKZPY_12478
6,vRO8vWryVx4,6.773,31.197,"The scene opens with a man and a woman chatting under the bright neon lights of a casino, a commercial for Miller Genuine Draft plays on a nearby screen. The commercial features a cowboy outlined in neon, then transitions to a hand reaching for a six-pack of Miller beer. As a catchy jingle about ""getting into the cold"" plays, the commercial shifts to a nighttime scene with a couple enjoying a cold drink against a backdrop of a deep blue sky.",both,5607.23,vRO8vWryVx4_712,vRO8vWryVx4_394,vRO8vWryVx4_501,Ll65N6WqwwQ_1130,vRO8vWryVx4_47
7,t-sHfZ9upSs,24.157,27.093,"A colorful graphic with the text ""FOX KIDS RADIO countdown"" swirls on screen as a man's voice excitedly promotes ""The Sunday morning radio happening,"" encouraging listeners to ""call the shots!""",both,4673.63,t-sHfZ9upSs_842,t-sHfZ9upSs_850,t-sHfZ9upSs_844,t-sHfZ9upSs_866,t-sHfZ9upSs_778
8,tDMu9cy-Uag,11.2,250.48,"A man wearing a ""RASCAL"" cap and a hoodie stands in front of a wall decorated with Tottenham Hotspur jerseys, passionately yelling about a recent match against Manchester City, his commentary punctuated by humorous anecdotes and expressive gestures.",both,4870.07,tDMu9cy-Uag_5431,oA-BhGNK7qw_39063,tDMu9cy-Uag_1158,aXV-U1p2owM_202570,LE3twRyz4iw_3349
9,tNeWPZw0Igw,0.0,327.633,"The video opens with news anchors discussing heavy rains and flooding in Mombasa, then cuts to footage of flooded streets and homes, where a reporter interviews residents struggling to cope with the disaster.",both,4386.14,tNeWPZw0Igw_3411,tNeWPZw0Igw_7360,tNeWPZw0Igw_9335,tNeWPZw0Igw_1436,tNeWPZw0Igw_4398
10,th7TroOitYM,0.503,56.044,"A casual gathering in a park turns tense as two individuals engage in a heated argument, escalating into a physical altercation while onlookers watch with a mix of concern and curiosity.",both,4289.26,X40MPQXah9U_1516,RNCNHZuvirk_6077,N2u_bTxeGKw_23066,Qt7OgOB_TVU_4823,GbU_T2XiFgA_161
11,uEQhiiFCvFI,1.4,40.066,"Encouraged by a man and a woman, a small brown dog excitedly runs on a treadmill, its tail wagging.",both,4146.69,uEQhiiFCvFI_244,uEQhiiFCvFI_379,uEQhiiFCvFI_34,uEQhiiFCvFI_649,uEQhiiFCvFI_42
12,qousDEuMLCA,0.0,331.875,"A band named ""No Capital"" is playing an energetic live set on a stage lit with cool blue lights for an unseen but enthusiastic audience.",both,4219.44,pPXltWFLIys_700,-QEfaBLGPQk_3486,bXAlepngbt8_6927,-QEfaBLGPQk_7473,bXAlepngbt8_6023
13,rFA1jSO6pdg,5.046,64.94621315192744,"A man wearing glasses, sitting in front of shelves stocked with canned goods and jars, is initially lost in thought. He then begins speaking directly to the camera, sharing his experience of managing diabetes and the noticeable improvements in his leg sores and pain reduction.",both,4653.15,GYcYjGBEL8k_4246,5WTOiYp-uPM_2147,bPvb4_clf8E_5114,GYcYjGBEL8k_4604,nlj6-C8BhfY_3756
14,sO3wd7X-l7U,0.0,51.71700680272109,"A silver Ford SUV, parked in front of a New Brighton Ford dealership, gleams under the sunlight, as a voice advertises its features, followed by a short jingle.",both,4219.27,sO3wd7X-l7U_852,sO3wd7X-l7U_30,sO3wd7X-l7U_942,sO3wd7X-l7U_192,sO3wd7X-l7U_101
15,m1ESWlMVugc,0.0,171.037,"The video starts with a black Chevrolet sedan parked in a dealership lot, a woman's voice describes its features including a backup camera and keyless entry. Upbeat electronic and pop music plays as the Chevrolet is shown driving down a sunny road, showcasing its smooth handling and comfortable interior.  The video then transitions to the car's interior, highlighting the spacious backseat and modern dashboard display, while a man speaks intermittently and electronic music continues in the background.",both,4874.59,05j4tIvoC8o_745,aXV-U1p2owM_131852,05j4tIvoC8o_720,aXV-U1p2owM_131659,m1ESWlMVugc_853
16,mV2SlDO7GZg,0.0,71.638,"A man in sunglasses and an orange shirt stands on a sunny beach, addressing the camera with a cheerful greeting as he describes the beautiful day and the clear emerald green water while the waves crash against the shore.",both,4385.47,mV2SlDO7GZg_1193,mV2SlDO7GZg_1670,mV2SlDO7GZg_716,Cbvn1hI7gR0_12141,Wn8K4O7EFcE_2399
17,n8Da3jHuFjM,0.0,30.8,"The video starts with a close-up of a shiny black and red motorcycle, then zooms out to show it speeding down the road, the rider leaning into turns as a pop song plays.",both,4379.81,aXV-U1p2owM_136553,aXV-U1p2owM_197067,D3bmHjjrnvw_79,uMN8fzfeueY_212,uMN8fzfeueY_384
18,nCMbcOm54zU,0.0,139.166,"A woman is walking her dogs in the forest, enjoying the beautiful solstice weather and the fragrant balsam fir trees, as the dogs happily explore the dirt path and sniff the ground.",both,4290.76,nCMbcOm54zU_3014,nCMbcOm54zU_4174,ofZXcR-GE7o_2742,Wn8K4O7EFcE_5048,nCMbcOm54zU_2551
19,k4T-OsT6_CQ,9.475999999999999,108.50684807256236,"A man standing in front of a pomegranate shrub with small orange flowers, describes to the viewers the shrub's features, how to grow it, and the fruit it bears.",both,4377.12,k4T-OsT6_CQ_3109,DHI_NLr_MQY_8542,k4T-OsT6_CQ_3277,EF2xlJIGFdQ_17919,olZPuJTwh0s_8384
20,k_c5nUaK45M,13.213,524.9567346938776,"Three women and a man are recording a video blog, introducing themselves and their countries of origin, Burundi and Rwanda, while laughing and discussing their favorite things about their cultures, including food, coffee, tea, and traditional dances.",both,4332.38,Z-hlc8kN6nI_3421,J34pE6PKZPY_5546,IWquNO7pJ_Q_5985,B9t_NybAytA_1793,k_c5nUaK45M_11473
21,knQCHTdP6L8,0.0,205.255,"A woman with long blonde hair, wearing glasses and a plaid shirt, sits and plays an acoustic guitar in a cozy room, her fingers moving deftly over the strings as she sings a folk song about returning to California.",both,4434.57,knQCHTdP6L8_341,IYyN_JAix5c_7224,IYyN_JAix5c_6497,IYyN_JAix5c_6136,KGjAytMacAA_1675
22,lGjFhc8w7ss,0.0,54.0,"A computer screen shows a document about exponential growth of a city's population, while a woman explains how to model the growth as an equation, her voice accompanied by the faint hum of the room.",both,4259.73,XG8vW3blclY_1010,4JsjkyuzfdI_13528,lGjFhc8w7ss_28,kj5TLqhcD38_2836,5cD4CAHexWs_1547
23,aZQ8bPyEvQ8,0.0,124.29,"A group of men, illuminated by the warm glow of a campfire, relax and socialize around the crackling flames, their laughter and conversation echoing through the wooded campsite.",both,4364.16,aZQ8bPyEvQ8_1040,aZQ8bPyEvQ8_208,EF2xlJIGFdQ_15538,2llGbAybvB0_358,EF2xlJIGFdQ_27903
24,b1RAatTA5L8,10.076,135.39555555555555,"A man is describing his rugged black Jeep, parked on a rocky terrain, as the camera captures its off-road capabilities and modifications. As the Jeep starts up and begins navigating the rocky terrain, the engine can be heard roaring, highlighting the challenging environment.",both,4417.37,Sjv6gnqXsFM_7065,phcTSB7CzAo_4351,Sjv6gnqXsFM_4579,6WE0rrbFhEg_1942,Sjv6gnqXsFM_2949
