video_id,duration,time_stamp,sentences
w2nmzwknVco,81.76,"[1.3599999999999999, 81.72]","A female athlete representing Cuba prepares for a javelin throw in a stadium filled with cheering spectators, then her powerful throw breaks the championship record, eliciting roars from the crowd."
wq9wywa4xiM,58.166667,"[8.295, 57.133]","A promotional video showcases a white Chevrolet Tahoe SUV, highlighting its sleek design, spacious interior, and ability to handle snowy roads, while a man's voice narrates its features and a pop song plays in the background before transitioning to a map showing the dealership's location."
x8G-pQ4b6aM,128.333,"[2.999, 117.93414965986395]","A woman is giving a tour of her lush garden, panning across neat rows of vegetables and pointing out different plants like garlic, peas, and tomatoes, as birds chirp cheerfully in the background."
v4-zBR7aXFU,46.92,"[4.5600000000000005, 46.92]","A group of men in matching ""Pick Me Locksmiths"" shirts smile for a promotional video, as a voiceover plays, explaining how a locksmith can help with car key damage from an unexpected trip through the washing machine."
vHTfzg4dBsY,58.600208,"[0.0, 58.6]","A three-person panel, with a woman about to speak and one man actively contributing, is seated at a table with water bottles, transitioning to a two-man conversation where they gesture, listen, and occasionally sip their water. The woman in the audio, who is not visible in the latter part of the video, expresses her willingness to participate in a revival of a show only if two other individuals, Tom and Michael, agree to join, indicating a collaborative project. As the conversation progresses, a pop song begins playing in the background, its source unclear but possibly originating from the event's sound system."
vMInBBN_5Ts,140.266667,"[0.0, 18.233]","Two young girls are standing in a room, looking at something on a smartphone and giggling as they discuss the images. One of the girls shows the phone screen to the camera, revealing a photo of a young man."
vRO8vWryVx4,32.365667,"[6.773, 31.197]","The scene opens with a man and a woman chatting under the bright neon lights of a casino, a commercial for Miller Genuine Draft plays on a nearby screen. The commercial features a cowboy outlined in neon, then transitions to a hand reaching for a six-pack of Miller beer. As a catchy jingle about ""getting into the cold"" plays, the commercial shifts to a nighttime scene with a couple enjoying a cold drink against a backdrop of a deep blue sky."
t-sHfZ9upSs,30.096733,"[24.157, 27.093]","A colorful graphic with the text ""FOX KIDS RADIO countdown"" swirls on screen as a man's voice excitedly promotes ""The Sunday morning radio happening,"" encouraging listeners to ""call the shots!"""
tDMu9cy-Uag,267.24,"[11.2, 250.48]","A man wearing a ""RASCAL"" cap and a hoodie stands in front of a wall decorated with Tottenham Hotspur jerseys, passionately yelling about a recent match against Manchester City, his commentary punctuated by humorous anecdotes and expressive gestures."
tNeWPZw0Igw,327.633333,"[0.0, 327.633]","The video opens with news anchors discussing heavy rains and flooding in Mombasa, then cuts to footage of flooded streets and homes, where a reporter interviews residents struggling to cope with the disaster."
th7TroOitYM,56.044325,"[0.503, 56.044]","A casual gathering in a park turns tense as two individuals engage in a heated argument, escalating into a physical altercation while onlookers watch with a mix of concern and curiosity."
uEQhiiFCvFI,41.9,"[1.4, 40.066]","Encouraged by a man and a woman, a small brown dog excitedly runs on a treadmill, its tail wagging."
qousDEuMLCA,331.875,"[0.0, 331.875]","A band named ""No Capital"" is playing an energetic live set on a stage lit with cool blue lights for an unseen but enthusiastic audience."
rFA1jSO6pdg,70.612208,"[5.046, 64.94621315192744]","A man wearing glasses, sitting in front of shelves stocked with canned goods and jars, is initially lost in thought. He then begins speaking directly to the camera, sharing his experience of managing diabetes and the noticeable improvements in his leg sores and pain reduction."
sO3wd7X-l7U,60.08,"[0.0, 51.71700680272109]","A silver Ford SUV, parked in front of a New Brighton Ford dealership, gleams under the sunlight, as a voice advertises its features, followed by a short jingle."
m1ESWlMVugc,171.037533,"[0.0, 171.037]","The video starts with a black Chevrolet sedan parked in a dealership lot, a woman's voice describes its features including a backup camera and keyless entry. Upbeat electronic and pop music plays as the Chevrolet is shown driving down a sunny road, showcasing its smooth handling and comfortable interior.  The video then transitions to the car's interior, highlighting the spacious backseat and modern dashboard display, while a man speaks intermittently and electronic music continues in the background."
mV2SlDO7GZg,71.638305,"[0.0, 71.638]","A man in sunglasses and an orange shirt stands on a sunny beach, addressing the camera with a cheerful greeting as he describes the beautiful day and the clear emerald green water while the waves crash against the shore."
n8Da3jHuFjM,30.8,"[0.0, 30.8]","The video starts with a close-up of a shiny black and red motorcycle, then zooms out to show it speeding down the road, the rider leaning into turns as a pop song plays."
nCMbcOm54zU,139.166667,"[0.0, 139.166]","A woman is walking her dogs in the forest, enjoying the beautiful solstice weather and the fragrant balsam fir trees, as the dogs happily explore the dirt path and sniff the ground."
k4T-OsT6_CQ,116.983533,"[9.475999999999999, 108.50684807256236]","A man standing in front of a pomegranate shrub with small orange flowers, describes to the viewers the shrub's features, how to grow it, and the fruit it bears."
k_c5nUaK45M,528.995133,"[13.213, 524.9567346938776]","Three women and a man are recording a video blog, introducing themselves and their countries of origin, Burundi and Rwanda, while laughing and discussing their favorite things about their cultures, including food, coffee, tea, and traditional dances."
knQCHTdP6L8,205.255244,"[0.0, 205.255]","A woman with long blonde hair, wearing glasses and a plaid shirt, sits and plays an acoustic guitar in a cozy room, her fingers moving deftly over the strings as she sings a folk song about returning to California."
lGjFhc8w7ss,55.833333,"[0.0, 54.0]","A computer screen shows a document about exponential growth of a city's population, while a woman explains how to model the growth as an equation, her voice accompanied by the faint hum of the room."
aZQ8bPyEvQ8,124.858067,"[0.0, 124.29]","A group of men, illuminated by the warm glow of a campfire, relax and socialize around the crackling flames, their laughter and conversation echoing through the wooded campsite."
b1RAatTA5L8,145.612133,"[10.076, 135.39555555555555]","A man is describing his rugged black Jeep, parked on a rocky terrain, as the camera captures its off-road capabilities and modifications. As the Jeep starts up and begins navigating the rocky terrain, the engine can be heard roaring, highlighting the challenging environment."
bQMgYUqWWpU,110.11,"[0.0, 110.11]","A cross-country race unfolds on a grassy field, runners pushing their limits as a man announces race times, the cheers of the crowd intermingling with his voice."
ZGc-nS0mrhQ,103.754312,"[0.0, 103.754]","A man in a tie and white shirt sings into a microphone on a brightly lit stage, hyping up the dancing crowd in front of him."
_A8Ra5DXbUY,118.326542,"[5.171, 114.364]","A man, visible on a wooden floor in a well-lit room with a bookshelf in the background, is following the instructions of a fitness instructor who is audible but not visible, performing a series of exercises using a white towel."
